Date,Set,Trophy,Colors,W/L,Format,Start Rank,End Rank,Shareable Links
9/21/2021 14:49,MID,,RGb,5 - 3,Sealed,,,"Pool, Deck 1, Details"
9/18/2021 15:30,MID,,UB,2 - 3,PremierDraft,Diamond-2,Diamond-2,"Draft, Pool, Deck 1, Details"
9/12/2021 13:59,AFR,x,WG,7 - 2,QuickDraft,Diamond-4,Diamond-2,"Draft, Pool, Deck 1, Details"
9/12/2021 13:33,AFR,,RG,1 - 3,QuickDraft,Diamond-3,,"Draft, Pool, Deck 1, Details"
8/24/2021 12:09,AFR,,UG,2 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
8/22/2021 11:37,AFR,,BR,2 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
8/22/2021 9:40,AFR,,WG,6 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
8/22/2021 8:32,AFR,,WGr,2 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
8/22/2021 7:49,AFR,,RGw,1 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
8/22/2021 7:02,AFR,,RGw,1 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
8/22/2021 6:14,AFR,,WG,0 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
8/21/2021 12:48,IKO,x,UGbr,7 - 0,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
8/21/2021 11:13,IKO,,WURGb,3 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
8/21/2021 7:03,AFR,x,BR,7 - 2,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
8/21/2021 6:08,AFR,,URg,1 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Deck 2, Details"
8/19/2021 10:06,AFR,,BR,1 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Deck 2, Details"
8/18/2021 19:46,KLR,,RGu,1 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Deck 2, Details"
8/17/2021 4:48,KHM,,URGw,3 - 3,QuickDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
8/17/2021 4:15,KHM,,WR,1 - 3,QuickDraft,Mythic-1,Mythic-1,"Pool, Deck 1, Details"
8/17/2021 4:10,KHM,,WR,0 - 0,QuickDraft,,,"Pool, Deck 1, Details"
8/17/2021 4:03,KHM,,WBurg,0 - 0,QuickDraft,,,"Draft, Pool, Deck 1, Details"
