"","Price","Beds","Baths","sq.ft","Floor","Move_in_date","building_id","unit_id","URL","Day_Recorded","Amenity","Apartment.Name","Address","City","Units","Northern_Exposure","Southern_Exposure","Eastern_Exposure","Western_Exposure","Balcony","Walk_In_Closet","Fireplace","City_Skyline","Kitchen_Island","Stainless_Appliances","Renovated","Office_Space","Days_Till_Available","Day_of_the_week_recorded","Unique_ID"
"1",2377,0,1,523,5,"2021-09-02","01","0507","https://www.equityapartments.com/washington-dc/northwest-dc/1210-mass-apartments","2021-07-17","Hard Surface Flooring Throughout
                            

                                Northern Exposure
                            

                                Renovated
                            

                                Stainless Steel Appliances
                            

                                Western Exposure","1210 Mass Apartments","1210 Massachusetts Ave, NW

Washington DC 20005","Washington DC",144,1,0,0,1,0,0,0,0,0,1,1,0,47,"Wednesday","0105071210MassApartments"
"2",2816,1,1,713,2,"2021-09-13","01","0204","https://www.equityapartments.com/washington-dc/northwest-dc/1210-mass-apartments","2021-07-17","Beautiful Bay Windows
                            

                                Hard Surface Flooring Throughout
                            

                                Northern Exposure
                            

                                Renovated
                            

                                Stainless Steel Appliances","1210 Mass Apartments","1210 Massachusetts Ave, NW

Washington DC 20005","Washington DC",144,1,0,0,0,0,0,0,0,0,1,1,0,58,"Wednesday","0102041210MassApartments"
"3",3811,2,2,1252,6,"2021-10-08","01","0608","https://www.equityapartments.com/washington-dc/northwest-dc/1210-mass-apartments","2021-07-17","Gas Fireplace
                            

                                Hard Surface Flooring Throughout
                            

                                Hardwood Floors
                            

                                Northern Exposure
                            

                                Townhouse
                            

                                Western Exposure","1210 Mass Apartments","1210 Massachusetts Ave, NW

Washington DC 20005","Washington DC",144,1,0,0,1,0,0,1,0,0,0,0,0,83,"Wednesday","0106081210MassApartments"
"4",1549,0,1,456,2,"2021-09-17","1","256 
","https://www.equityapartments.com/washington-dc/dupont-circle/1500-mass-apartments","2021-07-17","Northern Exposure
                            

                                Utilities Paid by Mgmt
                            

                                Walk-in Closet","1500 Mass Apartments","1500 Massachusetts Avenue NW

Washington DC 20005","Washington DC",556,1,0,0,0,0,1,0,0,0,0,0,0,62,"Wednesday","1256
1500MassApartments"
"5",1753,1,1,580,3,"2021-10-05","1","337 
","https://www.equityapartments.com/washington-dc/dupont-circle/1500-mass-apartments","2021-07-17","Southern Exposure
                            

                                Upgraded Kitchen Features
                            

                                Utilities Paid by Mgmt
                            

                                Walk-in Closet","1500 Mass Apartments","1500 Massachusetts Avenue NW

Washington DC 20005","Washington DC",556,0,1,0,0,0,1,0,0,0,0,0,0,80,"Wednesday","1337
1500MassApartments"
"6",2161,0,1,556,4,"2021-07-17","1","423 
","https://www.equityapartments.com/washington-dc/mt-vernon-triangle/455-eye-street-apartments","2021-07-17",NA,"455 Eye Street Apartments","455 I St NW

Washington DC 20001","Washington DC",174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Wednesday","1423
455EyeStreetApartments"
"7",2772,1,1,656,5,"2021-08-05","1","512 
","https://www.equityapartments.com/washington-dc/mt-vernon-triangle/455-eye-street-apartments","2021-07-17",NA,"455 Eye Street Apartments","455 I St NW

Washington DC 20001","Washington DC",174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"Wednesday","1512
455EyeStreetApartments"
"8",2084,0,1,468,8,"2021-09-14","401","812 
","https://www.equityapartments.com/washington-dc/gallery-place-mt-vernon-triangle/425-mass-apartments","2021-07-17","Northern Exposure
                            

                                Western Exposure","
425 Mass Apartments","425 Massachusetts Avenue NW

Washington DC 20001","Washington DC",559,1,0,0,1,0,0,0,0,0,0,0,0,59,"Wednesday","401812

425MassApartments"
"9",2459,1,1,679,8,"2021-08-19","401","802 
","https://www.equityapartments.com/washington-dc/gallery-place-mt-vernon-triangle/425-mass-apartments","2021-07-17","Southern Exposure","
425 Mass Apartments","425 Massachusetts Avenue NW

Washington DC 20001","Washington DC",559,0,1,0,0,0,0,0,0,0,0,0,0,33,"Wednesday","401802

425MassApartments"
"10",1876,0,1,420,1,"2021-07-17","01","0101","https://www.equityapartments.com/washington-dc/dupont-circle/corcoran-house-at-dupont-circle-apartments","2021-07-17","Utilities Paid by Mgmt
                            

                                Western Exposure","Corcoran House at Dupont Circle Apartments","1616 18th St. NW

Washington DC 20009","Washington DC",138,0,0,0,1,0,0,0,0,0,0,0,0,0,"Wednesday","010101CorcoranHouseatDupontCircleApartments"
"11",3189,1,1,750,3,"2021-09-29","01","0306","https://www.equityapartments.com/washington-dc/dupont-circle/corcoran-house-at-dupont-circle-apartments","2021-07-17","Eastern Exposure
                            

                                Utilities Paid by Mgmt","Corcoran House at Dupont Circle Apartments","1616 18th St. NW

Washington DC 20009","Washington DC",138,0,0,1,0,0,0,0,0,0,0,0,0,74,"Wednesday","010306CorcoranHouseatDupontCircleApartments"
"12",2216,0,1,475,4,"2021-08-31","01","0426","https://www.equityapartments.com/washington-dc/dupont-circle/the-flats-at-dupont-circle-apartments","2021-07-17","Balcony
                            

                                Coat Closet with Upper Shelf
                            

                                Eastern Exposure
                            

                                Separate Sleeping Area
                            

                                Southern Exposure
                            

                                Utilities Paid by Mgmt
                            

                                View of Landscaped Courtyard","The Flats at Dupont Circle Apartments","2000 N St. NW

Washington DC 20036","Washington DC",306,0,1,1,0,1,0,0,0,0,0,0,0,45,"Wednesday","010426TheFlatsatDupontCircleApartments"
"13",2925,1,1,715,8,"2021-08-04","01","0831","https://www.equityapartments.com/washington-dc/dupont-circle/the-flats-at-dupont-circle-apartments","2021-07-17","Coat Closet with Upper Shelf
                            

                                Northern Exposure
                            

                                Utilities Paid by Mgmt
                            

                                View of Dupont Neighborhood
                            

                                Walk-in Closet
                            

                                Western Exposure","The Flats at Dupont Circle Apartments","2000 N St. NW

Washington DC 20036","Washington DC",306,1,0,0,1,0,1,0,0,0,0,0,0,18,"Wednesday","010831TheFlatsatDupontCircleApartments"
"14",4067,2,2,1090,7,"2021-09-15","01","0702","https://www.equityapartments.com/washington-dc/dupont-circle/the-flats-at-dupont-circle-apartments","2021-07-17","Coat Closet with Upper Shelf
                            

                                Eastern Exposure
                            

                                Utilities Paid by Mgmt
                            

                                Walk-in Closet","The Flats at Dupont Circle Apartments","2000 N St. NW

Washington DC 20036","Washington DC",306,0,0,1,0,0,1,0,0,0,0,0,0,60,"Wednesday","010702TheFlatsatDupontCircleApartments"
"15",2397,0,1,577,1,"2021-07-21","001","126 
","https://www.equityapartments.com/washington-dc/georgetown/2400-m-apartments","2021-07-17","Southern Exposure
                            

                                Walk Out Patio","
2400 M Apartments","2400 M Street NW

Washington DC 20037","Washington DC",359,0,1,0,0,0,0,0,0,0,0,0,0,4,"Wednesday","001126

2400MApartments"
"16",2938,1,1,730,1,"2021-08-05","001","131 
","https://www.equityapartments.com/washington-dc/georgetown/2400-m-apartments","2021-07-17","Northern Exposure
                            

                                Overlooks Landscaped Courtyard
                            

                                Walk Out Patio","
2400 M Apartments","2400 M Street NW

Washington DC 20037","Washington DC",359,1,0,0,0,0,0,0,0,0,0,0,0,19,"Wednesday","001131

2400MApartments"
"17",4490,2,2,1400,5,"2021-07-17","001","508 
","https://www.equityapartments.com/washington-dc/georgetown/2400-m-apartments","2021-07-17","Alcove for Office or Storage
                            

                                Double Sinks
                            

                                Hard Surface Flooring Throughout
                            

                                Northern Exposure
                            

                                Walk-in Closet off Den","
2400 M Apartments","2400 M Street NW

Washington DC 20037","Washington DC",359,1,0,0,0,0,1,0,0,0,0,0,1,0,"Wednesday","001508

2400MApartments"
"18",1865,0,1,419,11,"2021-07-30","1","1109","https://www.equityapartments.com/washington-dc/noma/100k-apartments","2021-07-17","Balcony","
100K Apartments","100 K St NE

Washington DC 20002","Washington DC",222,0,0,0,0,1,0,0,0,0,0,0,0,13,"Wednesday","11109
100KApartments"
"19",2260,1,1,759,8,"2021-09-16","1","801 
","https://www.equityapartments.com/washington-dc/noma/100k-apartments","2021-07-17","Balcony
                            

                                View - Courtyard","
100K Apartments","100 K St NE

Washington DC 20002","Washington DC",222,0,0,0,0,1,0,0,0,0,0,0,0,61,"Wednesday","1801

100KApartments"
"20",3435,2,2,938,8,"2021-08-05","1","817 
","https://www.equityapartments.com/washington-dc/noma/100k-apartments","2021-07-17","Kitchen Island","
100K Apartments","100 K St NE

Washington DC 20002","Washington DC",222,0,0,0,0,0,0,0,0,1,0,0,0,19,"Wednesday","1817

100KApartments"
"21",1893,0,1,500,5,"2021-08-10","01","0502","https://www.equityapartments.com/washington-dc/woodley-park/calvert-woodley-apartments","2021-07-17","Eastern Exposure
                            

                                Upgraded Kitchen and Bathrooms
                            

                                Utilities Included","
Calvert Woodley Apartments","2601 Woodley Place NW

Washington DC 20008","Washington DC",136,0,0,1,0,0,0,0,0,0,0,0,0,24,"Wednesday","010502
CalvertWoodleyApartments"
"22",1980,1,1,800,4,"2021-08-17","01","0405","https://www.equityapartments.com/washington-dc/woodley-park/calvert-woodley-apartments","2021-07-17","Northern Exposure
                            

                                Upgraded Kitchen and Bathrooms
                            

                                Utilities Included","
Calvert Woodley Apartments","2601 Woodley Place NW

Washington DC 20008","Washington DC",136,1,0,0,0,0,0,0,0,0,0,0,0,31,"Wednesday","010405
CalvertWoodleyApartments"
"23",3291,2,2,1180,4,"2021-08-28","01","0404","https://www.equityapartments.com/washington-dc/woodley-park/calvert-woodley-apartments","2021-07-17","Eastern Exposure
                            

                                Northern Exposure
                            

                                Upgraded Kitchen and Bathrooms
                            

                                Utilities Included
                            

                                View of Rock Creek Park","
Calvert Woodley Apartments","2601 Woodley Place NW

Washington DC 20008","Washington DC",136,1,0,1,0,0,0,0,0,0,0,0,0,42,"Wednesday","010404
CalvertWoodleyApartments"
"24",1565,0,1,450,1,"2021-07-17","01","0134","https://www.equityapartments.com/washington-dc/woodley-park/cleveland-house-apartments","2021-07-17","Northern Exposure
                            

                                Utilities Included
                            

                                Western Exposure","
Cleveland House Apartments","2727 29th St. NW

Washington DC 20008","Washington DC",214,1,0,0,1,0,0,0,0,0,0,0,0,0,"Wednesday","010134
ClevelandHouseApartments"
"25",1977,1,1,800,4,"2021-08-19","01","0429","https://www.equityapartments.com/washington-dc/woodley-park/cleveland-house-apartments","2021-07-17","Eastern Exposure
                            

                                Upgraded Kitchen and Bathrooms
                            

                                Utilities Included","
Cleveland House Apartments","2727 29th St. NW

Washington DC 20008","Washington DC",214,0,0,1,0,0,0,0,0,0,0,0,0,33,"Wednesday","010429
ClevelandHouseApartments"
"26",3736,2,2,1750,6,"2021-08-26","01","0620","https://www.equityapartments.com/washington-dc/woodley-park/cleveland-house-apartments","2021-07-17","Oversized Covered Balcony
                            

                                Upgraded Kitchen and Bathrooms
                            

                                Utilities Included
                            

                                Western Exposure","
Cleveland House Apartments","2727 29th St. NW

Washington DC 20008","Washington DC",214,0,0,0,1,1,0,0,0,0,0,0,0,40,"Wednesday","010620
ClevelandHouseApartments"
"27",3260,2,2,875,5,"2021-07-17","01","0514","https://www.equityapartments.com/washington-dc/cleveland-park/2501-porter-apartments","2021-07-17","Corner Wrap-around Balcony
                            

                                Southern Exposure","
2501 Porter Apartments","2501 Porter St. NW

Washington DC 20008","Washington DC",202,0,1,0,0,1,0,0,0,0,0,0,0,0,"Wednesday","010514
2501PorterApartments"
