StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1#1_1_1,Q1#1_1_2,Q1#1_2_1,Q1#1_2_2,Q1#1_3_1,Q1#1_3_2,Q1#1_4_1,Q1#1_4_2,Q1#1_5_1,Q1#1_5_2,Q1#1_6_1,Q1#1_6_2,Q1#1_7_1,Q1#1_7_2,Q1#1_8_1,Q1#1_8_2,Q1#1_9_1,Q1#1_9_2,Q1#1_10_1,Q1#1_10_2,Q1#1_11_1,Q1#1_11_2,Q2,Q3,Q4
1/12/2021 20:03,1/12/2021 20:03,IP Address,209.37.99.170,100,28,TRUE,1/12/2021 20:03,R_3HzfoDQBNydnrqJ,,,,,37.3881073,-121.8755951,anonymous,EN,180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/12/2021 20:57,1/12/2021 20:59,IP Address,152.3.34.111,100,80,TRUE,1/12/2021 20:59,R_2yduC56UWYjMB0F,,,,,36.02290344,-78.9464035,anonymous,EN,172,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,20,20,20,1
1/12/2021 20:57,1/12/2021 20:59,IP Address,152.3.34.111,100,99,TRUE,1/12/2021 20:59,R_1doaLhhOapQy8t9,,,,,36.02290344,-78.9464035,anonymous,EN,185,,1,,1,1,1,,1,,1,,1,1,1,,1,,1,1,1,3,10,7,13,0.538461538
1/12/2021 20:57,1/12/2021 20:59,IP Address,152.3.34.111,100,107,TRUE,1/12/2021 20:59,R_42uWPIzSL2U53vb,,,,,36.02290344,-78.9464035,anonymous,EN,,2,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,10,9,11,0.818181818
1/12/2021 20:57,1/12/2021 20:59,IP Address,152.3.34.111,100,97,TRUE,1/12/2021 20:59,R_2dA7unxiJyT2EVi,,,,,36.02290344,-78.9464035,anonymous,EN,173,,1,,1,2,1,,1,,1,,1,,1,2,1,,1,,1,,1,7,15,0.466666667
1/12/2021 20:57,1/12/2021 20:59,IP Address,152.3.34.111,100,130,TRUE,1/12/2021 20:59,R_24DbpsWO9fI6fn1,,,,,36.02290344,-78.9464035,anonymous,EN,160,0,2,0,2,1,1,1,1,0,2,1,1,1,1,0,2,1,1,1,1,6,14,8,20,0.4
1/12/2021 20:57,1/12/2021 20:59,IP Address,152.3.34.111,100,116,TRUE,1/12/2021 20:59,R_31AeV5lUHJDbgH7,,,,,36.02290344,-78.9464035,anonymous,EN,172,0,2,0,2,1,1,0,2,1,1,1,1,1,1,0,2,1,1,1,1,6,14,8,20,0.4
1/12/2021 20:57,1/12/2021 20:59,IP Address,152.3.34.111,100,133,TRUE,1/12/2021 20:59,R_3hDqLThdoBk8OSR,,,,,36.02290344,-78.9464035,anonymous,EN,,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,1,1,19,18,20,0.9
1/12/2021 20:57,1/12/2021 20:59,IP Address,152.3.79.241,100,134,TRUE,1/12/2021 20:59,R_9nOerMzvixX1K4V,,,,,36.02290344,-78.9464035,anonymous,EN,166,2,1,2,1,,1,,1,,1,2,1,2,1,2,1,,1,,1,10,10,0,20,0
1/12/2021 20:57,1/12/2021 20:59,IP Address,152.3.34.111,100,135,TRUE,1/12/2021 20:59,R_3PNMfvdHVyaoSru,,,,,36.02290344,-78.9464035,anonymous,EN,164,0,2,0,2,1,1,0,2,0,2,0,2,1,1,0,2,0,2,1,1,3,17,14,20,0.7
1/12/2021 20:57,1/12/2021 20:59,IP Address,116.90.118.157,100,137,TRUE,1/12/2021 20:59,R_1oC1TVjaraiGd1e,,,,,31.48880005,74.36860657,anonymous,EN,160,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,20,20,20,1
1/12/2021 20:57,1/12/2021 20:59,IP Address,64.98.123.36,100,143,TRUE,1/12/2021 20:59,R_2xz3bRiLe6bNmhY,,,,,35.71780396,-78.84279633,anonymous,EN,176,0,2,1,1,1,1,1,1,1,1,0,2,1,1,0,2,1,1,0,2,6,14,8,20,0.4
1/12/2021 20:57,1/12/2021 21:00,Spam,152.3.34.111,100,155,TRUE,1/12/2021 21:00,R_2QtGd1odNYh6Yyg,,,,,36.02290344,-78.9464035,anonymous,EN,172,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,20,20,20,1
1/12/2021 20:57,1/12/2021 21:00,IP Address,152.3.34.111,100,140,TRUE,1/12/2021 21:00,R_2YYfoD4RkoseV3U,,,,,36.02290344,-78.9464035,anonymous,EN,168,,2,,2,1,1,1,1,1,1,,2,2,,,2,1,1,1,1,7,9,2,16,0.125
1/12/2021 20:57,1/12/2021 21:00,IP Address,152.3.34.111,100,166,TRUE,1/12/2021 21:00,R_Rqd31OoI14GAj7P,,,,,36.02290344,-78.9464035,anonymous,EN,160,0,2,0,2,2,0,2,0,2,0,1,1,2,0,2,0,2,0,1,1,14,6,-8,20,-0.4
