"","ID","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","MntWines","MntMeatProducts","MntFishProducts","MntSweetProducts","NumWebPurchases","NumStorePurchases"
"1",5524,1957,"College","Single",58138,0,0,635,546,172,88,8,4
"2",2174,1954,"College","Single",46344,1,1,11,6,2,1,1,2
"3",4141,1965,"College","Together",71613,0,0,426,127,111,21,8,10
"4",6182,1984,"College","Together",26646,1,0,11,20,10,3,2,4
"5",5324,1981,"PhD","Married",58293,1,0,173,118,46,27,5,6
"6",7446,1967,"Master","Together",62513,0,1,520,98,0,42,6,10
"7",965,1971,"College","Divorced",55635,0,1,235,164,50,49,7,7
"8",6177,1985,"PhD","Married",33454,1,0,76,56,3,1,4,4
"9",4855,1974,"PhD","Together",30351,1,0,14,24,3,3,3,2
"10",5899,1950,"PhD","Together",5648,1,1,28,6,1,1,1,0
"11",1994,1983,"College","Married",NA,1,0,5,6,0,2,1,2
"12",387,1976,"High school","Married",7500,0,0,6,11,11,1,2,3
"13",2125,1959,"College","Divorced",63033,0,0,194,480,225,112,3,8
"14",8180,1952,"Master","Divorced",59354,1,1,233,53,3,5,6,5
"15",2569,1987,"College","Married",17323,0,0,3,17,6,1,1,3
"16",2114,1946,"PhD","Single",82800,0,0,1006,115,59,68,7,12
"17",9736,1980,"College","Married",41850,1,1,53,19,2,13,3,3
"18",4939,1946,"College","Together",37760,0,0,84,38,150,12,4,6
"19",6565,1949,"Master","Married",76995,0,1,1012,498,0,16,11,9
"20",2278,1985,"Some college","Single",33812,1,0,4,19,30,24,2,3
"21",9360,1982,"College","Married",37040,0,0,86,73,69,38,4,5
"22",5376,1979,"College","Married",2447,1,0,1,1725,1,1,0,0
"23",1993,1949,"PhD","Married",58607,0,1,867,86,0,0,2,9
"24",4047,1954,"PhD","Married",65324,0,1,384,102,21,32,6,9
"25",1409,1951,"College","Together",40689,0,1,270,27,39,6,7,5
"26",7892,1969,"College","Single",18589,0,0,6,25,15,12,2,3
"27",2404,1976,"College","Married",53359,1,1,173,30,3,6,5,4
"28",5255,1986,"College","Single",NA,1,0,5,3,3,263,27,0
"29",9422,1989,"College","Married",38360,1,0,36,42,20,21,2,4
"30",1966,1965,"PhD","Married",84618,0,0,684,801,21,66,6,10
"31",6864,1989,"Master","Divorced",10979,0,0,8,10,2,2,3,3
"32",3033,1963,"Master","Together",38620,0,0,112,44,34,22,2,3
"33",5710,1970,"College","Together",40548,0,1,110,5,2,0,2,4
"34",7373,1952,"PhD","Divorced",46610,0,2,96,96,33,22,4,6
"35",8755,1946,"Master","Married",68657,0,0,482,471,119,68,3,9
"36",10738,1951,"Master","Single",49389,1,1,40,19,2,1,2,3
"37",4339,1970,"PhD","Married",67353,0,1,702,151,0,8,5,12
"38",10755,1976,"Some college","Married",23718,1,0,6,14,15,7,3,2
"39",8595,1973,"College","Widow",42429,0,1,55,6,2,0,1,3
"40",2968,1943,"PhD","Divorced",48948,0,0,437,206,160,49,7,5
"41",8601,1980,"College","Married",80011,0,1,421,536,82,178,8,5
"42",503,1985,"Master","Married",20559,1,0,13,29,3,0,2,3
"43",8430,1957,"College","Together",21994,0,1,9,6,3,1,0,3
"44",7281,1959,"PhD","Single",NA,0,0,81,50,3,2,1,4
"45",2139,1975,"Master","Married",7500,1,0,3,10,3,2,2,3
"46",1371,1976,"College","Single",79941,0,0,123,266,227,30,2,9
"47",9909,1996,"Some college","Married",7500,0,0,3,14,15,22,3,3
"48",7286,1968,"College","Together",41728,1,0,13,15,3,5,2,2
"49",7244,1951,"College","Single",NA,2,1,48,48,6,10,2,4
"50",6566,1954,"PhD","Married",72550,1,1,826,317,50,38,5,12
"51",8614,1957,"College","Widow",65486,0,1,245,125,37,67,4,10
"52",4114,1964,"Master","Married",79143,0,0,650,780,27,167,6,13
"53",1331,1977,"College","Single",35790,1,0,12,20,30,1,2,3
"54",2225,1977,"College","Divorced",82582,0,0,510,550,156,40,4,7
"55",9381,1978,"College","Married",66373,1,1,328,124,12,24,4,10
"56",6260,1955,"Master","Together",82384,0,0,984,432,180,120,3,13
"57",10383,1966,"College","Divorced",70287,0,0,295,482,121,120,5,10
"58",7437,1988,"College","Single",27938,1,0,13,8,2,1,1,4
