"","Date","Set","Trophy","Colors","W","L","Format","Start Rank","End Rank"
"1","9/21/2021 14:49","MID",NA,"RGb","5","3","Sealed",NA,NA
"2","9/18/2021 15:30","MID",NA,"UB","2","3","PremierDraft","Diamond-2","Diamond-2"
"3","9/12/2021 13:59","AFR","x","WG","7","2","QuickDraft","Diamond-4","Diamond-2"
"4","9/12/2021 13:33","AFR",NA,"RG","1","3","QuickDraft","Diamond-3",NA
"5","8/24/2021 12:09","AFR",NA,"UG","2","3","PremierDraft","Mythic-1","Mythic-1"
"6","8/22/2021 11:37","AFR",NA,"BR","2","3","PremierDraft","Mythic-1","Mythic-1"
"7","8/22/2021 9:40","AFR",NA,"WG","6","3","PremierDraft","Mythic-1","Mythic-1"
"8","8/22/2021 8:32","AFR",NA,"WGr","2","3","PremierDraft","Mythic-1","Mythic-1"
"9","8/22/2021 7:49","AFR",NA,"RGw","1","3","PremierDraft","Mythic-1","Mythic-1"
"10","8/22/2021 7:02","AFR",NA,"RGw","1","3","PremierDraft","Mythic-1","Mythic-1"
"11","8/22/2021 6:14","AFR",NA,"WG","0","3","PremierDraft","Mythic-1","Mythic-1"
"12","8/21/2021 12:48","IKO","x","UGbr","7","0","PremierDraft","Mythic-1","Mythic-1"
"13","8/21/2021 11:13","IKO",NA,"WURGb","3","3","PremierDraft","Mythic-1","Mythic-1"
"14","8/21/2021 7:03","AFR","x","BR","7","2","PremierDraft","Mythic-1","Mythic-1"
"15","8/21/2021 6:08","AFR",NA,"URg","1","3","PremierDraft","Mythic-1","Mythic-1"
"16","8/19/2021 10:06","AFR",NA,"BR","1","3","PremierDraft","Mythic-1","Mythic-1"
"17","8/18/2021 19:46","KLR",NA,"RGu","1","3","PremierDraft","Mythic-1","Mythic-1"
"18","8/17/2021 4:48","KHM",NA,"URGw","3","3","QuickDraft","Mythic-1","Mythic-1"
"19","8/17/2021 4:15","KHM",NA,"WR","1","3","QuickDraft","Mythic-1","Mythic-1"
